hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
281,17,125.28,1.4,708.3779620852283,Jodhpur,26.2389,73.0243
282,18,0.0,1.4,633.6136366816348,Jodhpur,26.2389,73.0243
283,19,0.0,1.4,973.4229863790628,Jodhpur,26.2389,73.0243
284,20,0.0,1.4,1902.491711330081,Jodhpur,26.2389,73.0243
285,21,0.0,1.4,2262.789258011369,Jodhpur,26.2389,73.0243
286,22,0.0,1.4,1986.7053389851208,Jodhpur,26.2389,73.0243
287,23,0.0,1.4,1420.7566839655478,Jodhpur,26.2389,73.0243
288,0,0.0,1.4,1494.511904900953,Jodhpur,26.2389,73.0243
289,1,0.0,1.4,1942.50944580873,Jodhpur,26.2389,73.0243
290,2,0.0,1.4,1217.849407431814,Jodhpur,26.2389,73.0243
291,3,0.0,1.4,1145.7429151423637,Jodhpur,26.2389,73.0243
292,4,0.0,1.4,1178.831547766951,Jodhpur,26.2389,73.0243
293,5,0.0,1.4,496.4575673916135,Jodhpur,26.2389,73.0243
294,6,0.0,1.4,726.2668727921535,Jodhpur,26.2389,73.0243
295,7,137.36,1.4,585.8325425284719,Jodhpur,26.2389,73.0243
296,8,483.7,1.4,402.91108327868153,Jodhpur,26.2389,73.0243
297,9,782.17,1.4,399.832457190278,Jodhpur,26.2389,73.0243
298,10,985.79,1.4,252.289894107762,Jodhpur,26.2389,73.0243
299,11,1095.97,1.4,467.2116754307182,Jodhpur,26.2389,73.0243
300,12,1087.19,1.4,1136.4489008607593,Jodhpur,26.2389,73.0243
301,13,1081.32,1.4,985.6304359142606,Jodhpur,26.2389,73.0243
302,14,965.68,1.4,1083.554113291218,Jodhpur,26.2389,73.0243
303,15,747.62,1.4,1174.320243863973,Jodhpur,26.2389,73.0243
304,16,456.45,1.4,749.2696379863934,Jodhpur,26.2389,73.0243
305,17,120.33,1.4,819.3461226935626,Jodhpur,26.2389,73.0243
306,18,0.0,1.4,854.0064742209736,Jodhpur,26.2389,73.0243
307,19,0.0,1.4,547.8642263785339,Jodhpur,26.2389,73.0243
308,20,0.0,1.4,561.2442155235436,Jodhpur,26.2389,73.0243
309,21,0.0,1.4,682.6839771291162,Jodhpur,26.2389,73.0243
310,22,0.0,1.4,1329.292275813207,Jodhpur,26.2389,73.0243
311,23,0.0,1.4,1729.346127403136,Jodhpur,26.2389,73.0243
312,0,0.0,1.4,2088.302057653591,Jodhpur,26.2389,73.0243
313,1,0.0,1.4,2311.232170858132,Jodhpur,26.2389,73.0243
314,2,0.0,1.4,1185.501978490704,Jodhpur,26.2389,73.0243
315,3,0.0,1.4,869.4660654088916,Jodhpur,26.2389,73.0243
316,4,0.0,1.4,1063.3724819104714,Jodhpur,26.2389,73.0243
317,5,0.0,1.4,1631.602580589985,Jodhpur,26.2389,73.0243
318,6,0.0,1.4,1612.1737928657626,Jodhpur,26.2389,73.0243
319,7,132.27,1.4,1004.0520764519514,Jodhpur,26.2389,73.0243
320,8,461.26,1.4,75.06125527768691,Jodhpur,26.2389,73.0243
321,9,699.34,1.4,382.3766645816573,Jodhpur,26.2389,73.0243
322,10,856.28,1.4,393.9420854657608,Jodhpur,26.2389,73.0243
323,11,963.35,1.4,702.6572753943805,Jodhpur,26.2389,73.0243
324,12,1016.36,1.4,919.5651910046976,Jodhpur,26.2389,73.0243
325,13,952.62,1.4,808.1631489097515,Jodhpur,26.2389,73.0243
326,14,822.11,1.4,147.4171338372798,Jodhpur,26.2389,73.0243
327,15,698.06,1.4,291.07434450032963,Jodhpur,26.2389,73.0243
328,16,435.83,1.4,236.53743004493208,Jodhpur,26.2389,73.0243
329,17,123.65,1.4,833.6886905871927,Jodhpur,26.2389,73.0243
330,18,0.0,1.4,1630.9334198294848,Jodhpur,26.2389,73.0243
